"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestReviewsForProduct/no_reviews_for_product",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestReviewsForProduct/database_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestGetById/review_not_found",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestDeleteItem/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/favourites","","github.com/taucuya/ppo/internal/core/service/favourites","","TestCreate_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","TestGetItems",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestGetById/basket_not_found",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestGetOrdersByUser/no_orders_found_for_user",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestCheckAdmin/user_is_not_admin",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestCreate_AAA/repository_error_on_basket_creation",""
