timestamp,cpu_percent,memory_usage,memory_limit,memory_percent
1763189891472,202.71,0.009GiB,15.410GiB,0.06
1763189893474,202.24,0.009GiB,15.410GiB,0.06
1763189895477,203.13,0.009GiB,15.410GiB,0.06
1763189897480,203.53,0.009GiB,15.410GiB,0.06
1763189899484,204.38,0.009GiB,15.410GiB,0.06
1763189901487,202.67,0.009GiB,15.410GiB,0.06
1763189903490,202.16,0.009GiB,15.410GiB,0.06
1763189905498,202.95,0.009GiB,15.410GiB,0.06
1763189907510,209.46,0.009GiB,15.410GiB,0.06
1763189909517,201.66,0.009GiB,15.410GiB,0.06
1763189911517,202.31,0.009GiB,15.410GiB,0.06
1763189913521,201.47,0.009GiB,15.410GiB,0.06
1763189915524,201.04,0.009GiB,15.410GiB,0.06
1763189917527,200.76,0.009GiB,15.410GiB,0.06
1763189919530,200.35,0.009GiB,15.410GiB,0.06
1763189921534,200.94,0.009GiB,15.410GiB,0.06
1763189923537,200.66,0.009GiB,15.410GiB,0.06
1763189925540,200.61,0.009GiB,15.410GiB,0.06
1763189927545,202.01,0.009GiB,15.410GiB,0.06
1763189929548,203.55,0.009GiB,15.410GiB,0.06
1763189931553,202.65,0.009GiB,15.410GiB,0.06
1763189933555,203.2,0.009GiB,15.410GiB,0.06
1763189935558,200.18,0.009GiB,15.410GiB,0.06
1763189937562,200.46,0.009GiB,15.410GiB,0.06
1763189939565,200.07,0.009GiB,15.410GiB,0.06
1763189941568,202.91,0.009GiB,15.410GiB,0.06
1763189943572,203.34,0.009GiB,15.410GiB,0.06
1763189945575,203.18,0.009GiB,15.410GiB,0.06
1763189947578,204.63,0.009GiB,15.410GiB,0.06
1763189949581,203.13,0.009GiB,15.410GiB,0.06
1763189951586,202.44,0.009GiB,15.410GiB,0.06
1763189953603,203.42,0.009GiB,15.410GiB,0.06
1763189955596,201.8,0.009GiB,15.410GiB,0.06
1763189957599,200.95,0.009GiB,15.410GiB,0.06
1763189959606,204.19,0.009GiB,15.410GiB,0.06
1763189961609,205.42,0.009GiB,15.410GiB,0.06
1763189963611,205.79,0.009GiB,15.410GiB,0.06
1763189965618,204.51,0.009GiB,15.410GiB,0.06
1763189967620,204.31,0.009GiB,15.410GiB,0.06
1763189969622,203.79,0.009GiB,15.410GiB,0.06
1763189971625,205.71,0.009GiB,15.410GiB,0.06
1763189973629,201.21,0.009GiB,15.410GiB,0.06
1763189975631,202.17,0.009GiB,15.410GiB,0.06
1763189977635,203.72,0.009GiB,15.410GiB,0.06
1763189979637,203.35,0.009GiB,15.410GiB,0.06
1763189981640,202.41,0.009GiB,15.410GiB,0.06
1763189983642,204.24,0.009GiB,15.410GiB,0.06
